ID,Target
ID_000001,1
ID_000002,1
ID_000003,1
ID_000004,1
ID_000005,1
ID_000006,1
ID_000007,1
ID_000008,1
ID_000009,1
ID_000010,1
ID_000011,1
ID_000012,1
ID_000013,1
ID_000014,1
ID_000015,1
ID_000016,1
ID_000017,1
ID_000018,1
ID_000019,1
ID_000020,0
ID_000021,1
ID_000022,1
ID_000023,1
ID_000024,1
ID_000025,1
ID_000026,1
ID_000027,1
ID_000028,1
ID_000029,1
ID_000030,1
ID_000031,1
ID_000032,1
ID_000033,1
ID_000034,1
ID_000035,1
ID_000036,1
ID_000037,1
ID_000038,1
ID_000039,1
ID_000040,0
ID_000041,1
ID_000042,1
ID_000043,1
ID_000044,1
ID_000045,1
ID_000046,1
ID_000047,1
ID_000048,1
ID_000049,1
ID_000050,1
ID_000051,1
ID_000052,1
ID_000053,1
ID_000054,1
ID_000055,1
ID_000056,1
ID_000057,1
ID_000058,1
ID_000059,1
ID_000060,1
ID_000061,1
ID_000062,1
ID_000063,1
ID_000064,1
ID_000065,1
ID_000066,1
ID_000067,1
ID_000068,0
ID_000069,1
ID_000070,1
ID_000071,1
ID_000072,1
ID_000073,1
ID_000074,0
ID_000075,1
ID_000076,1
ID_000077,1
ID_000078,1
ID_000079,1
ID_000080,1
ID_000081,1
ID_000082,1
ID_000083,1
ID_000084,1
ID_000085,1
ID_000086,1
ID_000087,1
ID_000088,1
ID_000089,1
ID_000090,1
ID_000091,1
ID_000092,1
ID_000093,1
ID_000094,1
ID_000095,1
ID_000096,1
ID_000097,1
ID_000098,1
ID_000099,1
ID_000100,1
ID_000101,1
ID_000102,1
ID_000103,1
ID_000104,1
ID_000105,1
ID_000106,1
ID_000107,1
ID_000108,1
ID_000109,1
ID_000110,1
ID_000111,1
ID_000112,1
ID_000113,1
ID_000114,1
ID_000115,1
ID_000116,1
ID_000117,1
ID_000118,1
ID_000119,1
ID_000120,1
ID_000121,1
ID_000122,1
ID_000123,1
ID_000124,1
ID_000125,1
ID_000126,1
ID_000127,1
ID_000128,1
ID_000129,1
ID_000130,1
ID_000131,1
ID_000132,1
ID_000133,1
ID_000134,0
ID_000135,1
ID_000136,1
ID_000137,1
ID_000138,1
ID_000139,1
ID_000140,1
ID_000141,1
ID_000142,1
ID_000143,1
